COUNTRY,STAGE,STAGE2,Presence_Absence,Mar_supraN,Mar_subN,Mar_Nat,Mar_org,marine_mech,marine_not,Focus,Richness,EEZ_Protected,mar_mam,mar_bird,mam_bird,Polity2,GDP,Rents,OHI
Heard Island and McDonald Islands,None,0,0,0,0,0,0,0,0,,0.195341178,0.154211496,2.40E-06,0.000024,0.000026,,,,
Honduras,Potential,1,0,0,0,0,0,0,0,,0.478344065,0.041467701,9.09E-06,0.000009,0.000023,7,20979767785,2.494519833,52.24
Iceland,None,0,0,0,0,0,0,0,0,,0.252689356,0.003684725,1.06E-05,0.000011,0.000023,,16942247374,0.000291614,75.89
India,Preliminary,2,1,0,0,2,0,2,1,Biodiversity,0.264361965,0.001707046,4.78E-06,0.000005,0.000011,9,2.10E+12,1.87689356,45.14
Indonesia,Preliminary,2,1,0,0,2,0,2,1,Biodiversity,0.566501183,0.028825172,2.35E-06,0.000003,0.000005,9,8.61E+11,2.324430249,47.68
Iran (Islamic Republic of),None,0,0,0,0,0,0,0,0,,0.177384047,0.010337606,2.22E-05,0.000049,0.000076,-7,3.86E+11,,68.51
Ireland,In Progress,3,1,1,0,0,0,1,0,,0.325517961,0.023207393,1.64E-05,0.000023,0.000042,10,2.91E+11,0.046104491,77.9
Israel,None,0,0,0,0,0,0,0,0,,0.437668065,0.000326692,0.000179501,0.000431,0.000826,6,2.99E+11,0.222196051,77.71
Italy,In Progress,3,1,1,0,0,0,1,0,,0.28526782,0.087726975,7.42E-06,0.000022,0.000043,10,1.83E+12,0.076953797,72.38
Jamaica,Potential,1,1,0,0,2,0,2,1,Biodiversity,0.519611481,0.007545991,8.11E-06,0.000016,0.000024,9,14145469269,1.356488781,55.11
Japan,Preliminary,2,1,0,0,1,0,1,0,,0.584929949,0.00493492,2.47E-06,0.00001,0.000013,10,4.39E+12,0.017236903,63.15
Jersey,None,0,0,0,0,0,0,0,0,,0.280437736,0.061645454,0,0,0,,,,82.56
Jordan,None,0,0,0,0,0,0,0,0,,0.313938432,0.357524013,0.010672359,0.053362,0.064034,-3,37517410282,1.186213529,55.85
Kazakhstan,None,0,0,0,0,0,0,0,0,,0,0.010492505,0,0.000084,0.000084,-6,1.84E+11,9.186195527,
Kenya,None,0,0,0,0,0,0,0,0,,0.292552951,0.006355849,4.45E-05,0.000053,0.000098,9,64007751188,3.291225156,59.08
