COUNTRY,STAGE,STAGE2,Presence_Absence,Mar_supraN,Mar_subN,Mar_Nat,Mar_org,marine_mech,marine_not,Focus,Richness,EEZ_Protected,mar_mam,mar_bird,mam_bird,Polity2,GDP,Rents,OHI
Puerto Rico,None,0,0,0,0,0,0,0,0,,0.415490533,0.017462227,1.70E-05,0.000023,0.00004,,1.03E+11,,70.21
Qatar,Preliminary,2,1,0,0,3,2,3,1,Mangrove,0.22997448,0.001813197,0.000125048,0.000125,0.000281,-10,1.62E+11,11.29153808,100
"Korea, Republic of",Preliminary,2,1,0,0,2,0,2,1,Wetland,0.454906764,0.010498046,2.15E-05,0.000068,0.000095,8,1.38E+12,0.018652411,83.78
Reunion Island,None,0,0,0,0,0,0,0,0,,0.439876024,0.00016019,1.26E-05,0.000016,0.000028,,,,47.58
Romania,In Progress,3,1,1,0,0,0,1,0,,0.127781501,0.084278621,3.36E-05,0.000269,0.000404,9,1.78E+11,1.030231551,66.41
Russian Federation,In Progress,3,1,0,0,1,0,1,0,,0.062271462,0.029728185,1.43E-06,0.000004,0.000007,4,1.37E+12,10.30720954,72.91
Saint Barthlemy,None,0,0,0,0,0,0,0,0,,0.415491,0.983255749,0.000463188,0,0.000695,,,,
"Saint Helena, Ascension and Tristan da Cunha",None,0,0,0,0,0,0,0,0,,0.279213885,0.002114526,1.82E-06,0.000009,0.000011,,,,88.5
Saint Kitts and Nevis,None,0,0,0,0,0,0,0,0,,0.415490533,0.001695427,0.000194877,0.000292,0.000487,,936314411.5,0,74.06
Saint Lucia,None,0,0,0,0,0,0,0,0,,0.470487039,0.002185048,0.000128532,0.000193,0.000321,,1622436704,0.031326932,71.56
"Saint Martin (French part, northern)",None,0,0,0,0,0,0,0,0,,0.415490533,0.965939927,0.002807149,0.001871,0.004679,,,,73.53
Saint Pierre and Miquelon,None,0,0,0,0,0,0,0,0,,0.236306475,0.000557923,0.000404292,0.000404,0.000809,,,0.044309841,78.32
Saint Vincent and the Grenadines,None,0,0,0,0,0,0,0,0,,0.470487039,0.002202082,5.48E-05,0.000082,0.000137,,755458031.4,0.044309841,56.83
Samoa,None,0,0,0,0,0,0,0,0,,0.370785323,0.000850304,7.56E-06,0.000076,0.000083,,804100582.5,0.471353762,71.02
Sao Tome and Principe,None,0,0,0,0,0,0,0,0,,0.396361258,0.000268015,7.59E-06,0.000015,0.000023,,315521532,3.108624891,43.65
Saudi Arabia,None,0,0,0,0,0,0,0,0,,0.270238417,0.015267439,2.27E-05,0.000023,0.00005,-10,6.54E+11,23.37391704,68.84
Senegel,Potential,1,0,0,0,0,0,0,0,,0.460276564,0.011028465,3.79E-05,0.000032,0.000069,7,17767620059,5.788524345,51.88
Seychelles,None,0,0,0,0,0,0,0,0,,0.42444024,0.000361042,2.98E-06,0.000004,0.000007,,1377492466,0.118316742,55.55
Sierra Leone,None,0,0,0,0,0,0,0,0,,0.312847526,0.005375419,2.49E-05,0.000012,0.000037,7,4218723875,23.46867846,57.84
Singapore,Potential,1,1,0,0,2,0,2,1,Environment,0.540856416,0.000131113,0.009177921,0.010489,0.019667,-2,3.04E+11,0.000451828,85.25
Sint Maarten (Dutch Part_ southern),None,0,0,0,0,0,0,0,0,,0.415491,0.053467337,0.004020101,0.00402,0.01005,,,,58.18
Slovenia,Established,4,1,1,0,0,0,1,0,,0.216635787,2.130971551,0.01610306,0.037574,0.085883,,43072415017,0.262606813,67.51
Solomon Islands,None,0,0,0,0,0,0,0,0,,0.483402175,0.001180551,1.86E-06,0.000007,0.000009,8,1154650069,23.00543354,43.69
South Africa,In Progress,3,1,0,0,2,0,2,1,Biodiversity,0.386017596,0.120675184,3.89E-06,0.000015,0.000019,9,3.18E+11,4.199749058,71.67
South Georgia and the South Sandwich Islands,None,0,0,0,0,0,0,0,0,,0.200555116,0.737194692,2.77E-06,0.000006,0.000009,,,,
Spain,Potential,1,1,1,0,0,0,1,0,,0.410519073,0.074582887,7.95E-06,0.000013,0.000027,10,1.20E+12,0.066497018,72.02
Sri Lanka,None,0,0,0,0,0,0,0,0,,0.53798133,0.000746323,9.36E-06,0.000015,0.000026,6,80604080689,0.156189642,47.42
Sudan,None,0,0,0,0,0,0,0,0,,0.066191648,0.000181177,5.99E-05,0.000075,0.000135,-4,97156119150,4.201952459,49.39
Suriname,None,0,0,0,0,0,0,0,0,,0.388079614,0.015432017,2.34E-05,0.000016,0.000039,5,4767414748,17.68389984,65.08
Svalbard and Jan Mayen,None,0,0,0,0,0,0,0,0,,0.154666194,0.076444682,4.62E-06,0.000006,0.000011,,,,83.83
Sweden,In Progress,3,1,1,0,2,0,2,1,Wetland,0.163487496,0.082058711,1.94E-05,0.000065,0.00009,10,4.98E+11,0.396448065,73.73
Syrian Arab Republic,None,0,0,0,0,0,0,0,0,,0.115066848,0.002469717,0.000294014,0.00049,0.001078,-9,,,72.07
Taiwan,Established,4,1,0,0,2,0,2,1,Wetland,0.77160941,0.011214387,2.62E-05,0.000052,0.000082,10,2.53E+11,,70
Thailand,Potential,1,1,0,0,2,0,2,1,Environment,0.463970966,0.018722965,2.93E-05,0.000042,0.000072,-3,4.01E+11,1.247404925,69.84
Togo,None,0,0,0,0,0,0,0,0,,0.21748149,0.001997307,0.000257717,0.000193,0.000451,-2,4179185205,24.6673569,41.97
Tokelau,None,0,0,0,0,0,0,0,0,,0.345448,2.96E-05,3.11E-06,0.000031,0.000037,,,,80.12
Tonga,None,0,0,0,0,0,0,0,0,,0.395960715,0.015051464,1.50E-06,0.000022,0.000025,,435438217.3,0.045592386,68.17
Trinidad and Tobago,Potential,1,1,0,0,2,0,2,1,Environment,0.470487039,0.000489456,2.64E-05,0.00004,0.000066,10,24401734195,7.49288545,69.52
Tunisia,Potential,1,0,0,0,0,0,0,0,,0.276804111,0.01176231,2.98E-05,0.000079,0.000179,7,43152528548,3.027891579,68.78
Turkey,None,0,0,0,0,0,0,0,0,,0.021828789,0.001055774,1.56E-05,0.000031,0.000082,3,8.60E+11,0.358054974,71.97
Turkmenistan,None,0,0,0,0,0,0,0,0,,0,0.029938936,0,0.000077,0.000077,-8,35799714286,18.97679007,
Turks and Caicos Islands,None,0,0,0,0,0,0,0,0,,0.478194633,0.0009712,2.59E-05,0.000019,0.000045,,,,70.04
Tuvalu,None,0,0,0,0,0,0,0,0,,0.37138,8.48E-05,2.73E-06,0.000016,0.00002,,35556038.82,0,44.8
Ukraine,None,0,0,0,0,0,0,0,0,,0.01664731,0.034151336,7.41E-06,0.000059,0.000089,4,91030959455,3.903869408,60.75
United Arab Emirates,None,0,0,0,0,0,0,0,0,,0.375604149,0.124364387,7.31E-05,0.00011,0.000201,-8,3.58E+11,11.94932376,64.63
United Kingdom,Preliminary,2,1,1,0,3,0,3,1,Biodiversity,0.292302394,0.207363043,1.11E-05,0.000021,0.000033,10,2.89E+12,0.338532577,81.23
United Republic of Tanzania,None,0,0,0,0,0,0,0,0,,0.172124696,0.030382561,2.06E-05,0.000021,0.000041,3,45628320355,6.862256888,66.77
United States,Established,4,1,0,3,2,0,3,1,Seagrass_Eelgrass,0.167342602,0.277240565,1.51E-06,0.000005,0.000007,10,1.81E+13,0.290034833,85.66
United States Minor Outlying Islands,None,0,0,0,0,0,0,0,0,,0.29923583,0.651495468,1.02E-06,0.000009,0.00001,,,,
Uruguay,Potential,1,1,0,0,1,0,1,0,,0.29183604,0.00319759,3.84E-05,0.000085,0.000131,10,53274304222,1.640155398,73.93
Vanuatu,None,0,0,0,0,0,0,0,0,,0.487902413,7.64E-05,4.82E-06,0.000013,0.000019,,737917151.4,0.900978395,44.83
Venezuela,Potential,1,1,0,0,2,0,2,1,Costal environments,0.287478434,0.03485955,6.34E-06,0.000004,0.000011,4,4.82E+11,,69.32
Vietnam,Preliminary,2,1,0,0,1,0,1,0,,0.437378511,0.005608961,1.24E-05,0.00002,0.000034,-7,1.93E+11,2.556501625,51.42
Western Sahara,None,0,0,0,0,0,0,0,0,,0.459652561,0.014720803,2.38E-05,0.00002,0.000044,,,,47.44
Yemen,Established,4,1,0,0,0,2,2,1,Biodiversity,0.382811893,0.004675793,7.30E-06,0.000011,0.00002,0,45593573381,2.298301265,57.09
